playerID,year,tmID,lgID,pos,GP,G,A,Pts,PIM
smailwa01,1912,VA1,PCHA,L,1,0,0,0,0
smailwa01,1913,VA1,PCHA,L,3,1,0,1,2
smithto01,1912,QU1,NHA,L,3,4,0,4,0
smithto01,1916,MOC,NHA,C,4,2,0,2,3
smyliro01,1921,TRS,NHL,L,5,1,3,4,0
stackte01,1921,TRS,NHL,D,4,0,0,0,0
stanlba01,1914,VML,PCHA,R,3,6,0,6,0
stanlba01,1917,VML,PCHA,R,5,2,0,2,6
stewane01,1925,MTM,NHL,C,4,6,1,7,14
stuarbi01,1921,TRS,NHL,D,5,0,2,2,6
taylocy01,1914,VML,PCHA,R/L,3,7,3,10,3
taylocy01,1917,VML,PCHA,L,5,9,0,9,15
taylocy01,1920,VML,PCHA,L,3,0,1,1,5
tobinch01,1915,PO1,PCHA,R,5,2,1,3,12
tobinch01,1919,SEA,PCHA,R,5,0,0,0,0
tobinch01,1921,VML,PCHA,R,5,0,0,0,0
trappbo01,1922,EDE,WCHL,D,2,0,0,0,2
uksilch01,1915,PO1,PCHA,R,5,2,0,2,6
ulricja01,1913,VA1,PCHA,R,3,0,0,0,3
vezinge01,1915,MOC,NHA,G,5,0,0,0,0
vezinge01,1916,MOC,NHA,G,4,0,0,0,0
vezinge01,1918,MTL,NHL,G,5,0,0,0,0
vezinge01,1923,MTL,NHL,G,4,0,0,0,0
vezinge01,1924,MTL,NHL,G,4,0,0,0,0
walkeja01,1913,TBS,NHA,L,3,1,0,1,3
walkeja01,1916,SEA,PCHA,C,4,1,2,3,0
walkeja01,1918,SEA,PCHA,C,5,3,0,3,9
walkeja01,1919,SEA,PCHA,C,5,1,3,4,0
walkeja01,1924,VIC,WCHL,L,4,4,2,6,0
walkeja01,1925,VIC,WCHL,C,4,0,0,0,0
wilsocu01,1913,TBS,NHA,R,3,3,0,3,15
wilsocu01,1916,SEA,PCHA,R,4,1,2,3,0
wilsocu01,1918,SEA,PCHA,R,5,1,3,4,6
wilsocu01,1923,CAT,WCHL,L,2,0,0,0,2
winklha01,1922,EDE,WCHL,G,2,0,0,0,0
